instance,A,R,H,annotator-llm
A dull head in the middle of windy expanses.,No,No,Yes,no
A fine pedantic ray of sunshine in a satin vest,Yes,No,No,yes
Silence fills the story and gentleness fills the narrator's gaze,Yes,No,No,yes
And the storm must be bad,No,No,No,no
But pale and thin because of the water The harmless feet still shine,Yes,No,No,yes
Every street lamp I pass Beats like a fatalistic drum,Yes,Yes,No,yes
Hope is the thing with feathers that sits in the soul and sings the melody without words and never stops,Yes,Yes,No,yes
I do not spoil the beauty by being silent,Yes,No,No,no
I heard it in the coolest country,Yes,No,Yes,no
The heart of the ocean is too smooth too blue,Yes,No,Yes,yes
The memory comes From sunless dry geraniums,Yes,No,Yes,no
The yellow mist rubbing its back against the window panes,Yes,Yes,Yes,no
The yellow smoke rubbing its mouth against the window panes,Yes,Yes,Yes,yes
Under a windy button.,Yes,Yes,Yes,no
Where worried bodies of drowned men float down in the green silence,Yes,Yes,Yes,yes
a crow flying in the sweetest air in heaven,Yes,Yes,Yes,yes
A woman's face painted by nature's hand,Yes,No,No,no
like sweet showers of rain on the ground,Yes,Yes,Yes,yes
Hide your bravery in their foul smoke,No,No,Yes,no
calmed the shrunken seas,Yes,No,Yes,no
kiss the green meadows with a golden face,Yes,No,Yes,yes
The beauty of my sweet love,Yes,Yes,Yes,no
"Sometimes it is too hot, the eye of the sky shines",Yes,No,No,no
that sweet smell,Yes,Yes,Yes,yes
the bottom of quiet seas.,Yes,No,Yes,no
the sessions of sweet silent thoughts,Yes,Yes,Yes,yes
the wide world and all its fading sweets,Yes,Yes,Yes,yes
Its substance still lives sweetly,Yes,No,Yes,yes
Listening with your eyes is part of the subtle joke of love,Yes,Yes,No,yes
Give your sweet looks to someone else,Yes,Yes,Yes,yes
