instance,R,H,A,annotator-llm
A dull head between windy spaces.,No,No,No,no
"A fine, pedantic sun in a satin waistcoat",No,No,No,yes
"A silence pervades the story, and a softness in the narrator's eye",No,No,No,no
And painful must be the storm,Yes,No,No,no
"But through the pale, thin water Non-offensive feet still shine",Yes,No,Yes,yes
For every lamppost I pass Beats like a fatalistic drum,Yes,No,Yes,yes
"Hope is the feathered thing that perches in the soul, and sings the melody without the words, and never stops altogether.",Yes,Yes,Yes,yes
I don't care that beauty is mute,Yes,No,Yes,no
I have heard it in the coldest land,No,Yes,No,no
"The heart of the ocean too soft, too blue",No,Yes,Yes,yes
"Reminiscence comes
Of dried geraniums without sun",No,No,No,no
The yellow mist brushing against the window panes,No,Yes,Yes,no
Yellow smoke rubbing its snout on window panes,Yes,Yes,Yes,yes
Under a windy knob.,Yes,No,Yes,no
Where worried bodies of drowned men drift down in the green silence,Yes,Yes,Yes,yes
a crow that flies in the sweetest air of the sky,Yes,Yes,Yes,yes
a woman's face hand-painted by nature,Yes,No,No,yes
like sweet rains to the ground,Yes,Yes,Yes,yes
hiding your bravery in its rotting smoke,No,Yes,No,no
silenced the shrinking seas,Yes,Yes,Yes,no
kissing with a golden face the green meadows,No,Yes,Yes,yes
the beauty of my sweet love,Yes,Yes,Yes,no
sometime too hot shines the eye of the sky,No,Yes,Yes,yes
that sweet smell,Yes,Yes,Yes,yes
the floors of silent seas.,No,Yes,Yes,yes
the sessions of sweet silent thought,Yes,Yes,Yes,yes
the wide world and all its vanished sweets,No,Yes,Yes,no
its substance still lives sweet,No,No,No,yes
hearing with the eyes belongs to the fine wit of love,Yes,Yes,Yes,yes
your sweet semblance to some other to give,Yes,Yes,Yes,yes
