instance,R,H,A,annotator-llm
A dull head between windy spaces.,No,No,No,yes
"A beautiful, pedantic sun in a satin vest.",No,No,No,yes
A silence permeates the story and a softness in the narrator's eyes.,Yes,No,Yes,no
And the storm must be painful,Yes,No,No,yes
"But through the thin pale water
The harmless feet still shine",Yes,No,Yes,yes
"Every streetlight I pass
It sounds like a fatalistic drum",Yes,No,No,yes
Hope is that feathery thing that settles in the soul and sings the melody without the words and never stops at all.,Yes,Yes,Yes,yes
I do not deteriorate beauty by being mute,No,No,No,no
I have heard it in the coldest land,No,Yes,Yes,no
"The heart of the ocean is too soft, too blue.",No,No,Yes,yes
"The reminiscence comes
Of dried geraniums without sun",No,No,No,no
The yellow fog that brushes your back against the windows,Yes,Yes,Yes,yes
The yellow smoke that rubs its snout against the glass,Yes,Yes,Yes,yes
Under a windy knob.,Yes,No,Yes,no
Where the worried bodies of drowned men float in the green silence,Yes,Yes,Yes,no
a crow that flies in the sweetest air of heaven,Yes,Yes,Yes,yes
A woman's face hand painted by nature.,No,No,No,yes
As sweet season rains fall to the ground,Yes,No,Yes,yes
Hiding your bravery in its rotten smoke,Yes,Yes,Yes,no
silenced the shrunken seas,Yes,Yes,Yes,no
kissing the green meadows with a golden face,No,No,Yes,yes
the beauty of my sweet love,Yes,Yes,Yes,no
Sometimes too hot the eye of the sky shines,Yes,Yes,Yes,yes
that sweet smell,Yes,Yes,Yes,yes
the bottoms of silent seas.,Yes,Yes,Yes,no
the sessions of sweet silent thinking,Yes,Yes,Yes,yes
the wide world and all its faded sweets,Yes,Yes,Yes,no
its substance still lives sweet,Yes,No,No,yes
listening with your eyes belongs to the fine ingenuity of love,Yes,Yes,Yes,yes
your sweet resemblance to some other day,Yes,Yes,Yes,yes
