instance,label
A dull head among windy spaces.,yes
"A fine, pedantic sunshine in a satin vest",yes
"A silence suffuses the story, and a softness the teller’s eye",yes
And sore must be the storm,yes
But through the water pale and thin Still shine the unoffending feet,yes
Cherries suit robins,no
Every street lamp that I pass Beats like a fatalistic drum,yes
"Gull against the wind, in the windy straits Of Belle Isle",no
"Hope is the thing with feathers that perches in the soul, and sings the tune without the words, and never stops at all",yes
"How orderly the kitchen ‘d look by night, with just a clock,--",no
I impair not beauty being mute,yes
I've heard it in the chillest land,yes
"The ocean's heart too smooth, too blue",yes
"The reminiscence comes
Of sunless dry geraniums",yes
The yellow fog that rubs its back upon the window-panes,yes
The yellow smoke that rubs its muzzle on the window-panes,yes
Under a windy knob.,yes
"Victory comes late, and is held low to freezing lips too rapt with frost to take it. How sweet it would have tasted, just a drop!",no
Where worried bodies of drowned men drift down in the green silence,yes
a crow that flies in heaven’s sweetest air,yes
a woman’s face with nature’s own hand painted,yes
as sweet-season’d showers are to the ground,yes
hiding thy bravery in their rotten smoke,yes
hushed the shrunken seas,yes
kissing with golden face the meadows green,yes
more than that tongue that more hath more express’d,no
my sweet love’s beauty,yes
sometime too hot the eye of heaven shines,yes
that sweet odour,yes
the floors of silent seas.,yes
the sessions of sweet silent thought,yes
the wide world and all her fading sweets,yes
their substance still lives sweet,yes
to hear with eyes belongs to love’s fine wit,yes
your sweet semblance to some other give,yes
