instance,label,ES_translation_LLM,DE_translation_LLM,ES_backtranslation_LLM,DE_backtranslation_LLM
A dull head among windy spaces.,yes,Una cabeza aburrida entre espacios ventosos.,Ein stumpfer Kopf unter windigen Räumen.,A bored head among windy spaces.,A dull head under windy rooms.
"A fine, pedantic sunshine in a satin vest",yes,Un fino y pedante sol con un chaleco de satén.,"Ein feiner, pedantischer Sonnenschein in einer Satinweste.",A fine and pedantic sun with a satin vest.,"A delicate, pedantic sunshine in a satin vest."
A lonely cab-horse steams and stamps.,yes,Un caballo de taxi solitario resopla y patea.,Ein einsames Taxi-Pferd dampft und stampft.,A lone taxi horse snorts and kicks.,A lonely taxi horse steams and stomps.
"A silence suffuses the story, and a softness the teller’s eye",yes,Un silencio impregna la historia y una suavidad el ojo del narrador.,Eine Stille durchdringt die Geschichte und eine Sanftheit das Auge des Erzählers.,A silence permeates the story and a softness the narrator's eye.,A silence permeates the story and a gentleness the eye of the narrator.
And sore must be the storm,yes,Y dolorosa debe ser la tormenta,Und der Sturm muss schmerzhaft sein.,And painful must be the storm,And the storm must be painful.
Anecdotes of air in dungeons have sometimes proved deadly sweet!,yes,¡Las anécdotas del aire en las mazmorras a veces han resultado dulcemente mortales!,Anekdoten über Luft in Verliesen haben sich manchmal als tödlich süß erwiesen!,The anecdotes of air in the dungeons have sometimes turned out to be sweetly deadly!,Anecdotes about air in dungeons have sometimes proven to be deadly sweet!
Ascending from the damp savannas,yes,Ascendiendo desde las húmedas sabanas.,Aufsteigend aus den feuchten Savannen,Ascending from the wet savannas.,Ascending from the damp savannas
But just to hear the grace depart,yes,Pero solo para escuchar la gracia partir,Aber nur um die Gnade verschwinden zu hören.,But only to hear the grace leave,But just to hear the grace disappear.
But through the water pale and thin Still shine the unoffending feet,yes,"Pero a través del agua pálida y delgada, aún brillan los pies inofensivos",Aber durch das blasse und dünne Wasser scheinen noch immer die unverfänglichen Füße hindurch.,"But through the pale, thin water, the harmless feet still shine.","But through the pale and thin water, the innocent feet still appear to shine through."
Crackling with fever,yes,Ardiendo con fiebre,Von Fieber knisternd,Burning with fever,Crackling from fever
