instance,R,H,A,annotator-llm
"A fine, pedantic sunshine in a satin waistcoat",No,No,Yes,no
A blunt head in the middle of windy rooms.,Yes,No,No,no
"A silence pervades the story, and a gentleness the eye of the narrator",No,Yes,No,no
And the storm must hurt,No,No,No,no
But pale and thin due to the water The innocent feet are still shining,No,No,No,no
Every street lamp I pass Beats like a fatalistic drum,Yes,No,Yes,yes
Hope is the thing with feathers that sits in the soul and sings the melody without words and never stops,Yes,Yes,Yes,yes
I do not detract from the beauty of being mute,No,No,Yes,no
I heard it in the coldest country,No,Yes,Yes,no
"The heart of the ocean too smooth, too blue",No,Yes,Yes,yes
The reminiscence comes From sunless dry geraniums,No,No,Yes,yes
The yellow mist that rubs its back against the window panes,Yes,Yes,Yes,yes
The yellow smoke that rubs its snout against the window panes,Yes,Yes,Yes,yes
Under a windy knob.,Yes,No,Yes,no
Where the troubled bodies of the drowned float in the green silence,Yes,Yes,Yes,yes
a crow flying in the sweetest air of the sky,Yes,Yes,Yes,yes
the face of a woman painted with the hand of nature,No,No,No,no
like the sweet shivers on the floor,Yes,Yes,Yes,yes
and hide your bravery in their foul smoke,No,Yes,No,no
silenced the shrunken seas,Yes,Yes,Yes,yes
kisses the green meadows with a golden face,No,Yes,Yes,yes
the beauty of my sweet love,Yes,Yes,Yes,no
sometimes too hot the eye of the sky shines,No,Yes,Yes,yes
that sweet smell,Yes,Yes,Yes,yes
the bottoms of the still seas.,No,No,No,no
the sessions of sweet silent thoughts,Yes,Yes,Yes,yes
the wide world and all its fading sweets,Yes,Yes,Yes,yes
their substance still lives sweetly,No,No,No,yes
Listening with the eyes is part of the fine mind of love,Yes,Yes,Yes,yes
to give your sweet glow to another,Yes,Yes,Yes,yes
