instance,annotator1,annotator2,annotator3,annotator-llm
A dull head among windy spaces.,yes,yes,yes,no
"A fine, pedantic sunshine in a satin vest",yes,yes,yes,no
A lonely cab-horse steams and stamps.,no,yes,yes,yes
"A silence suffuses the story, and a softness the teller’s eye",yes,yes,yes,yes
And sore must be the storm,yes,yes,yes,no
Anecdotes of air in dungeons have sometimes proved deadly sweet!,yes,yes,no,yes
Ascending from the damp savannas,no,yes,yes,no
But just to hear the grace depart,yes,yes,no,no
But through the water pale and thin Still shine the unoffending feet,yes,yes,yes,yes
Cherries suit robins,no,no,no,yes
Crackling with fever,yes,yes,no,yes
Dare you see a soul at the white heat?,yes,yes,no,yes
Defunctive music under sea,no,yes,yes,no
"Demur,--you’re straightway dangerous, and handled with a chain",no,yes,no,no
Every street lamp that I pass Beats like a fatalistic drum,yes,yes,yes,yes
"Except when a street piano, mechanical and tired
Reiterates some worn-out common song
With the smell of hyacinths across the garden",yes,yes,no,yes
Faced by the snarled and yelping seas.,no,yes,yes,no
"Gull against the wind, in the windy straits Of Belle Isle",no,no,no,no
He is merely flesh and blood.,no,no,yes,no
"Her hand twists a paper rose,
That smells of dust and old Cologne",no,yes,yes,yes
"Hope is the thing with feathers that perches in the soul, and sings the tune without the words, and never stops at all",yes,yes,yes,yes
"How orderly the kitchen ‘d look by night, with just a clock,--",no,no,no,no
I impair not beauty being mute,yes,yes,yes,no
"I like to see it lap the miles, and lick the valleys up",yes,yes,no,yes
I shall wear white flannel trousers,no,yes,yes,no
I've heard it in the chillest land,yes,yes,yes,yes
Is entombed so still that only to the ear of God its doom is audible,yes,yes,no,yes
It is a faded meat,no,yes,yes,no
"It might be famine all around, I could not miss an ear",yes,yes,no,no
"My country need not change her gown, her triple suit as sweet as when ‘t was cut at Lexington, and first pronounced “a fit.”",yes,yes,no,no
Nor constellation burn,yes,yes,no,no
Nor noticed that the ebbing day flowed silver to the west,yes,yes,no,yes
Performing on a harp of gold.,no,yes,yes,no
Sharp pittances of years,no,yes,no,yes
Swaddled with darkness,yes,yes,no,no
Sweetest in the gale is heard,yes,yes,no,yes
"That defies me,--as a hand did try to chalk the sun",yes,yes,no,yes
The eagle's golden breakfast,no,yes,no,no
The hands still hug the tardy glass,no,yes,no,no
"The morning comes to consciousness Of faint stale smells of beer
From the sawdust-trampled street",yes,no,no,yes
"The needle to the north degree wades so, through polar air",no,yes,no,no
"The ocean's heart too smooth, too blue",yes,yes,yes,yes
The palate of hate departs,yes,yes,no,yes
"The reminiscence comes
Of sunless dry geraniums",yes,yes,yes,yes
"The secret of its skeleton,
Stiff and white.",no,yes,yes,no
The silent man in mocha brown,no,yes,yes,no
The silent vertebrate in brown,no,yes,yes,no
The yellow fog that rubs its back upon the window-panes,yes,yes,yes,yes
The yellow smoke that rubs its muzzle on the window-panes,yes,yes,yes,yes
These tears are shaken from the wrath-bearing tree.,no,yes,no,yes
This is the errand of the eye,no,yes,no,no
Under a windy knob.,yes,yes,yes,no
"Victory comes late, and is held low to freezing lips too rapt with frost to take it. How sweet it would have tasted, just a drop!",no,no,no,yes
"Views of the Oxford Colleges
Lay on the table, with the knitting.",yes,no,yes,no
Where worried bodies of drowned men drift down in the green silence,yes,yes,yes,yes
White feathers in the snow,no,yes,no,no
Yet to my irritated ear an anodyne so sweet,yes,yes,no,yes
a closet never pierced with crystal eyes,yes,no,yes,no
a crow that flies in heaven’s sweetest air,yes,yes,yes,yes
a woman’s face with nature’s own hand painted,yes,yes,yes,yes
and puts apparel on my tatter’d loving,yes,no,no,yes
"and you must live, drawn by your own sweet skill",yes,yes,no,yes
as sweet-season’d showers are to the ground,yes,yes,yes,yes
as those gold candles fix’d in heaven’s air: let them say more that like of hearsay well,yes,yes,no,yes
clasped the yellow soles of feet,no,no,yes,yes
"dumb presagers of my speaking breast, who plead for love, and look for recompense",yes,yes,no,yes
hiding thy bravery in their rotten smoke,yes,yes,yes,no
hushed the shrunken seas,yes,yes,yes,yes
kissing with golden face the meadows green,yes,yes,yes,yes
let the rocks Groan with continual surges,yes,no,yes,no
more than that tongue that more hath more express’d,no,no,no,yes
"my love is as fair as any mother’s child, though not so bright",yes,yes,no,no
my saucy bark,yes,yes,no,no
"my sun one early morn did shine, with all triumphant splendour on my brow",yes,no,no,yes
my sweet love’s beauty,yes,yes,yes,yes
"scarcely greet me with that sun, thine eye",yes,yes,no,yes
sometime too hot the eye of heaven shines,yes,yes,yes,yes
sweet flattery,yes,yes,no,yes
"sweet love, renew thy force",yes,yes,no,yes
that sweet odour,yes,yes,yes,yes
the floors of silent seas.,yes,yes,yes,yes
the perfumed tincture of the roses,no,yes,yes,yes
the sessions of sweet silent thought,yes,yes,yes,yes
the wide world and all her fading sweets,yes,yes,yes,no
their substance still lives sweet,yes,yes,yes,yes
through heavy sleep on sightless eyes doth stay,no,yes,no,yes
"thy hungry eyes, even till they wink with fulness",yes,yes,no,yes
to hear with eyes belongs to love’s fine wit,yes,yes,yes,yes
what strained touches rhetoric can lend,yes,no,no,no
your sweet semblance to some other give,yes,yes,yes,yes
